type,name,notice,furigana
びん,化粧品（びん）,乳白色のものや中身の見えないものは燃やせないごみ　,け
燃やせないごみ,化粧品（乳白色のびん）,金属製のびんも同様の扱い,け
プラスチック製容器包装類,化粧品（プラスチック製容器）,プラマークがなければ燃やせるごみ　,け
 燃やせるごみ,下駄,,け
大型ごみ ,下駄箱,50センチメートル以下は燃やせないごみ ,け
燃やせるごみ ,玄関マット（布製）,,け
処理困難物 ,建築廃材 ,市が収集処理できないもの ,け
処理困難物,耕運機,市が収集処理できないもの ,こ
燃やせるごみ,行李,大きさにかかわらず燃やせるごみ ,こ
燃やせないごみ,コーヒーメーカー,50センチメートルを超えるものは大型ごみ,こ
大型ごみ,五月人形,"セットで1点
50センチメートル以下は燃やせないごみ",こ
大型ごみ,ござ,"カーペットと同様の扱い
1畳以下は燃やせるごみ",こ
大型ごみ,こたつ,"こたつ板と合わせて1点
こたつ板のみの場合は板と同様の扱い",こ
大型ごみ,こたつ布団,布団と同様の扱い　　3枚まで1点,こ
燃やせないごみ,コップ,,こ
大型ごみ,琴,50センチメートル以下は燃やせないごみ,こ
燃やせないごみ,碁盤,"50センチメートルを超えるものは大型ごみ
厚さ20センチメートルを超えるものは処理困難物",こ
大型ごみ,コピー機,"台は含まない
50センチメートル以下は燃やせないごみ",こ
燃やせるごみ,ごみ集積場所用ネット,たたんでまとめ、ビニール袋に入れる,こ
燃やせないごみ,ごみ箱（室内用）,大きさにかかわらず燃やせないごみ,こ
燃やせるごみ,ゴム手袋,,こ
燃やせるごみ,ゴムホース,丸めてひもで縛る,こ
燃やせないごみ,ゴムホース（リール付き）,50センチメートルを超えるものは大型ごみ,こ
燃やせないごみ,ゴムマット,,こ
大型ごみ,米びつ,50センチメートル以下は燃やせないごみ,こ
燃やせないごみ,コルクボード,"50センチメートルを超えるものは大型ごみ
3枚まで1点　",こ
燃やせないごみ,ゴルフクラブ,大きさにかかわらず燃やせないごみ　,こ
燃やせないごみ,ゴルフバッグ,大きさにかかわらず燃やせないごみ　,こ
燃やせるごみ,ゴルフボール,,こ
処理困難物,コンクリート製品,市が収集処理できないもの,こ
